P364, What is the original language of [S]?
P1412, What languages does [S] speak?
P1408, What places is [S] broadcasted to?
P921, What are the main topic of [S]?
P2416, What disciplines is [S] competing in?
P54, What teams was [S] a member of?
P17, What country is [S] located in?
P7937, What form does the creative work [S] has?
P530, What countries does [S] have diplomatic relations with?
P463, What groups or organizations was [S] a member?
P108, Who were employers of [S]?
P1101, How many floors above the ground has [S]?
P937, Where are the workplaces of [S]?
P580, What year did [S] start?
P413, What positions has [S] played on?
P1132, How many participants had [S]?
P105, What taxon rank has [S]?
P1971, How many children has [S]?
P47, What countries is [S] sharing borders with?
P123, What is the publisher of [S]?
P241, What military branch is [S] a member of?
P1001, What jurisdictions does [S] belong to?
P575, What year was [S] invented in?
P1532, What countries has [S] played for?
P641, What sports was [S] playing?
P69, Where was [S] educated at?
P452, What industries is [S] active in?
P159, Where is the headquarter of [S] located?
P59, What constellation is [S] a part of?
P1303, What instruments was [S] playing?
P449, Who was the original broadcaster of [S]?
P619, What year was [S] launched in?
P1350, How many matches has [S] played?
P27, What is the country of citizenship of [S]?
P569, What is the year of birth of [S]?
P1103, How many platforms has [S]?
P571, What year was [S] created in?
P750, Who are the distributors of [S]?
P577, What year was [S] published in?
P118, What leagues was [S] playing in?
P3999, What is the closing year of [S]?
P509, What are the causes of death of [S]?
P127, Who was the owner of [S]?
P606, What year was the first flight of [S] in?
P570, What year has [S] died in?
P101, What are the fields of work of [S]?
P39, What positions was [S] holding?
P102, What party was [S] a member of?
P2437, How many seasons had [S]?
P582, What year did [S] end in?
P2031, What year did [S] start in?
P495, What is the country of origin of [S]?
P190, What are the twin municipalities of [S]?
P20, Where did [S] die?
P306, What are the operating systems of [S]?
P576, What year was [S] abolished in?
P1056, What does [S] produce?
P31, What is the type of [S]?
P1113, How many episodes does [S] have?
P400, What platform was [S] developed for?
P407, What is the language of [S]?
P740, Where was [S] formed?
P551, Where was [S] living?
P7959, What historic county was [S] located in?
P361, What is [S] a part of?
P2044, What is the height of [S]?
P840, What place is [S] set?
P264, What is the record label of [S]?
P136, What is the genre of [S]?
P175, Who played [S]?
P106, What is the occupation of [S]?
P279, What is a superclass of [S]?
P276, Where is [S] located?
P156, What follows [S]?
P1082, What is the population of [S]?
P155, What is followed by [S]?
P140, What is the religion of [S]?
P585, What year did [S] take place in?
P410, What is the military rank of [S]?
P131, What administrative district is [S] located in?
P710, Who participated in [S]?
P19, Where was [S] born?
P729, What year was [S] launched in?
P2032, What year did the work of [S] end in?
P183, What location is [S] endemic in?
P137, Who is the operator of [S]?
P1619, What year did [S] officially open?
P527, What parts does [S] have?
P119, Where was [S] buried?
P57, Who is the director of [S]?
P461, What is the opposite of [S]?
P287, Who designed [S]?
P1923, What teams participated in [S]?
P676, Who wrote the lyrics of [S]?
P800, What are notable works of [S]?
P945, What country was [S] serving?
P149, What is the architectural style of [S]?
P344, Who is the director of photography of [S]?
P177, What is crossed by [S]?
P84, Who was the architect of [S]?
P186, What materials is [S] made from?
P915, What were the filming locations of [S]?
P1191, What year was [S] first performed?
P170, Who is the creator of [S]?
P141, What is the IUCN conservation status of [S]?
P112, Who founded [S]?
P4908, What series and season does [S] belong to?
P22, Who is the father of [S]?
P272, What is the production company of [S]?
P180, What is depicted in [S]?
P171, What is the parent taxon of [S]?
P103, What is the native language of [S]?
P355, What are subsidiaries of [S]?
P1441, What work does [S] appear in?
P2868, What is the role of [S]?
P65, Where was [S] discovered?
P81, What line connects [S]?
P647, What team was [S] drafted by?
P36, What is the original language of [S]?
P161, Who starred in [S]?
P427, What is the taxonomic type of [S]?
P1598, Who was the consecrator of [S]?
P2348, What time period did [S] occur in?
P286, Who is the head coach of [S]?
P1142, What is the political ideology of [S]?
P115, What is the home venue of [S]?
P6379, What collections have works of [S]?
P5353, What school district does [S] belong to?
P135, What movement is [S] associated with?
P674, What characters appear in [S]?
P611, What order belongs [S] to?
P3018, What protected area is [S] located in?
P1411, What awards was [S] nominated for?
P4552, What mountain range belongs [S] to?
P1444, What is the destination point of [S]?
P1249, What year was [S] first mentioned?
P40, Who are children of [S]?
P1416, What is the affiliation of [S]?
P412, What is the voice type of [S]?
P86, Who is the composer of [S]?
P559, What is the train station of the end of [S]?
P749, What are the parent organizations of [S]?
P607, What conflicts did [S] participate in?
P2936, What languages are used in [S]?
P162, Who are the producers of [S]?
P451, Who are unmarried partners of [S]?
P2094, What competition class is [S] part of?
P184, Who was the doctoral advisor of [S]?
P466, What occupies [S]?
P2632, Where was [S] detained?
P61, Who is the discoverer of [S]?
P1346, Who is the winner of [S]?
P58, Who are the screenwriters of [S]?
P1376, What state is [S] the capital of?
P737, Who influenced [S]?
P415, What radio format has [S]?
P7153, What significant place is associated with [S]?
P53, What family belongs [S] to?
P991, Who was successfully elected in [S]?
P974, What are tributaries of [S]?
P1427, Where did [S] start?
P366, What is the main usage of [S]?
P1435, What is the heritage designation of [S]?
P26, Who were spouses of [S]?
P1366, Who or what replaced [S]?
P706, Where is [S] located in or on?
P541, What position contested [S] for?
P802, Who were notable students of [S]?
P50, Who were the authors of [S]?
P144, What is [S] based on?
P3450, What competition belongs season [S] to?
P197, What are adjacent stations to [S]?
P931, What place is served by [S]?
P291, Where was [S] published?
P664, Who were the organizers of [S]?
P3602, What election was [S] a candidate in?
P2789, What is [S] connected to?
P1038, Who is related to [S]?
P176, Who is the manufacturer of [S]?
P1344, What did [S] participate in?
P488, Who is the chairperson of [S]?
P166, What awards has [S] received?
P371, Who was the presenter of [S]?
P1830, What is owned by [S]?
P138, What or who is [S] named after?
P172, What ethnic group belonged [S] to?
P178, Who or what was the developer of [S]?
P1327, Who were professional collaborators of [S]?
P179, What series is [S] a part of?
P3373, Who were siblings of [S]?
P1066, Who were students of [S]?
P1027, Who or what was [S] conferred by?
P403, Where does [S] flow into?
P1365, Who or what was replaced by [S]?
P98, Who were the editors of [S]?
P25, Who was the mother of [S]?
P708, What diocese has [S] belonged to?
P150, What administrative entities are located in [S]?
P185, Who were doctoral students of [S]?
P195, What collection belongs [S] to?
P206, What water is [S] located next to?
P1192, What trains stop at [S]?
P196, What minor planet group is [S] a part of?
P2597, What is the gram stain of [S]?
P30, What continent is [S] a part of?
P4884, What court was [S] decided in?
P4743, What animal breed belongs [S] to?
P97, What noble title is held by [S]?
P201, What are outflows of [S]?
P3764, Who had the pole position in the [S]?
P6886, What languages has [S] written in?
P1433, Where was [S] published in?
P88, Who was the commissioner of [S]?
P414, What stockexchange is [S] traded on?
P703, What taxon is [S] found in?
P1050, What medical conditions has [S]?
P610, What is the highest point of [S]?
P113, What is the airline hub of [S]?
P1877, What work has strongly inspired [S]?
P1308, Who is the officeholder of [S]?
P6, Who is the head of government of [S]?
P4647, Where was [S] first performed?
P669, What streets is [S] located on?
P765, What surface is [S] played on?
P467, Who legislated [S]?
P200, What river flows into [S]?
P277, What programming language was [S] developed in?
P6087, What sports team has [S] coached?
P37, What is the official language of [S]?
